,Adj Close,Close,High,Low,Open,Volume
count,24739.0,24739.0,24739.0,24739.0,24739.0,24739.0
mean,70.2341323436822,70.2341323436822,70.25561018470823,70.21273615836442,70.2341577958654,202.1711063502971
std,1.3800777019623816,1.3800777019623816,1.3798532359441216,1.380269533370312,1.380093357810487,456.02996120838316
min,66.75,66.75,66.79000091552734,66.72000122070312,66.75,0.0
25%,69.23999786376953,69.23999786376953,69.26000213623047,69.20999908447266,69.23999786376953,21.0
50%,70.55999755859375,70.55999755859375,70.58000183105469,70.54000091552734,70.55999755859375,74.0
75%,71.20999908447266,71.20999908447266,71.2300033569336,71.18000030517578,71.20999908447266,222.0
90%,71.80999755859375,71.80999755859375,71.83000183105469,71.80000305175781,71.80999755859375,496.0
95%,72.05999755859375,72.05999755859375,72.08000183105469,72.04000091552734,72.06999969482422,782.0999999999985
99%,72.37999725341797,72.37999725341797,72.41000366210938,72.35619979858397,72.37999725341797,1785.619999999999
max,72.8499984741211,72.8499984741211,72.87999725341797,72.77999877929688,72.86000061035156,18662.0
