,Adj Close,Close,High,Low,Open,Volume
count,7755.0,7755.0,7755.0,7755.0,7755.0,7755.0
mean,42807.28331570358,42807.28331570358,42813.67864331479,42800.65443111299,42807.23702752257,707777.5292069633
std,694.5980310463622,694.5980310463622,694.5331340136063,694.5333122148265,694.4182523645836,733019.1387590875
min,41652.1015625,41652.1015625,41661.55859375,41647.30078125,41650.3515625,0.0
25%,42284.4453125,42284.4453125,42289.689453125,42278.365234375,42284.35546875,398786.0
50%,42736.91015625,42736.91015625,42745.921875,42730.359375,42737.94921875,537987.0
75%,43234.75,43234.75,43239.505859375,43229.984375,43234.490234375,768366.5
90%,43796.28046875,43796.28046875,43804.3375,43786.9046875,43794.42734375,1167672.4000000004
95%,44154.5671875,44154.5671875,44157.1578125,44143.696874999994,44153.8078125,1607165.0999999999
99%,44377.242578125,44377.242578125,44384.601484375,44368.419140625,44378.623046875,3272626.740000001
max,44484.328125,44484.328125,44486.69921875,44472.890625,44486.69921875,22718885.0
