,Adj Close,Close,High,Low,Open,Volume
count,26818.0,26818.0,26818.0,26818.0,26818.0,26818.0
mean,104.1357652483677,104.1357652483677,104.14006326228628,104.13143411835921,104.13572386705295,0.0
std,0.5591426753841579,0.5591426753841579,0.5600053830514563,0.5582503200188901,0.5591040719390564,0.0
min,103.03500366210938,103.03500366210938,103.03900146484375,103.03099822998047,103.03600311279297,0.0
25%,103.73999786376953,103.73999786376953,103.74400329589844,103.73699951171875,103.73999786376953,0.0
50%,104.08499908447266,104.08499908447266,104.08799743652344,104.08200073242188,104.08499908447266,0.0
75%,104.39099884033203,104.39099884033203,104.39474678039551,104.38700103759766,104.39099884033203,0.0
90%,105.00800323486328,105.00800323486328,105.01300048828125,105.00229873657227,105.00700378417969,0.0
95%,105.23899841308594,105.23899841308594,105.24800109863281,105.2300033569336,105.23914833068848,0.0
99%,105.57883247375489,105.57883247375489,105.58200073242188,105.5739974975586,105.5780029296875,0.0
max,105.70500183105469,105.70500183105469,105.70500183105469,105.67500305175781,105.7040023803711,0.0
