,Adj Close,Close,High,Low,Open,Volume
count,27258.0,27258.0,27258.0,27258.0,27258.0,27258.0
mean,2730.1150962274837,2730.1150962274837,2730.499504535509,2729.727786812659,2730.1159545710348,143.4493359747597
std,39.51043895141428,39.51043895141428,39.48214860253583,39.53685623856943,39.50737734879061,353.81471513288943
min,2617.199951171875,2617.199951171875,2617.699951171875,2617.10009765625,2617.199951171875,0.0
25%,2697.300048828125,2697.300048828125,2697.699951171875,2696.89990234375,2697.300048828125,34.0
50%,2743.39990234375,2743.39990234375,2743.699951171875,2743.0,2743.300048828125,74.0
75%,2753.800048828125,2753.800048828125,2754.199951171875,2753.39990234375,2753.800048828125,160.0
90%,2772.89990234375,2772.89990234375,2773.60009765625,2772.0599853515623,2772.929931640625,315.0
95%,2792.300048828125,2792.300048828125,2792.6150756835937,2792.0,2792.300048828125,468.0
99%,2798.4429443359377,2798.4429443359377,2798.7429931640627,2798.199951171875,2798.5,1025.0
max,2801.39990234375,2801.39990234375,2801.800048828125,2801.300048828125,2801.5,33040.0
