,Adj Close,Close,High,Low,Open,Volume
count,7757.0,7757.0,7757.0,7757.0,7757.0,7757.0
mean,5843.054416260616,5843.054416260616,5843.837758121193,5842.247395875298,5843.055826906846,5264926.540157277
std,76.55247100977313,76.55247100977313,76.46248654648775,76.60808570305336,76.53701509807263,4774402.665442085
min,5696.91015625,5696.91015625,5698.31005859375,5696.509765625,5696.830078125,0.0
25%,5806.0400390625,5806.0400390625,5806.64013671875,5805.259765625,5806.0498046875,3256000.0
50%,5836.85009765625,5836.85009765625,5837.6298828125,5836.169921875,5836.81982421875,4145709.0
75%,5861.75,5861.75,5862.41015625,5861.10009765625,5861.75,5698000.0
90%,5981.3779296875,5981.3779296875,5982.11787109375,5980.39814453125,5981.3740234375,8113874.800000001
95%,5999.169921875,5999.169921875,5999.5080078125,5998.6041015625,5999.1220703125,10929699.4
99%,6009.94875,6009.94875,6010.54310546875,6009.27431640625,6009.864375,23514439.999999728
max,6016.56005859375,6016.56005859375,6017.31005859375,6015.22998046875,6016.68017578125,91131000.0
