,Adj Close,Close,High,Low,Open,Volume
count,25756.0,25756.0,25756.0,25756.0,25756.0,25756.0
mean,110.94656159237576,110.94656159237576,110.95491104907993,110.93852811067774,110.94659121655995,1656.6719211057618
std,0.8596311771363534,0.8596311771363534,0.8585464305139333,0.8608542062574196,0.8596532929308868,3577.818498566827
min,109.234375,109.234375,109.25,109.21875,109.234375,0.0
25%,110.34375,110.34375,110.359375,110.34375,110.34375,76.0
50%,110.78125,110.78125,110.78125,110.765625,110.78125,565.0
75%,111.42578125,111.42578125,111.4375,111.421875,111.4375,2117.25
90%,112.25,112.25,112.25,112.234375,112.25,4436.0
95%,112.453125,112.453125,112.453125,112.4375,112.453125,6247.5
99%,112.59375,112.59375,112.59375,112.578125,112.59375,12217.700000000004
max,112.6875,112.6875,112.6875,112.671875,112.6875,223117.0
